"filename", "language", "Python", "JavaScript", "HTML", "PostCSS", "pip requirements", "JSON", "Markdown", "toml", "comment", "blank", "total"
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0005_remove_trophy_earn_rate_trophy_earned_count_and_more.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0006_remove_trophy_trophy_counters_idx_and_more.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0007_trophy_earn_rate_trophy_trophy_psn_rate_idx_and_more.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0008_featuredprofile.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 1, 6, 69
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0009_event.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 1, 6, 63
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0010_alter_event_slug.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0011_game_game_title_idx_game_game_platform_idx_and_more.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0012_alter_game_title_id.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0013_game_concept_id_game_region.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0014_alter_game_region.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0015_remove_game_concept_id_remove_game_region_and_more.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0016_concept_game_concept_titleid.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 1, 6, 100
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0017_titleid_sync_id_alter_titleid_concept_and_more.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 1, 6, 42
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0018_alter_game_concept.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0019_alter_titleid_sync_id.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0020_alter_titleid_game.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0021_remove_titleid_title_release_idx_and_more.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0022_titleid_release_date.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0023_remove_titleid_release_date.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0024_titleid_release_date.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0025_alter_game_concept.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0026_remove_titleid_game_titleid_game.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0027_alter_titleid_game.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0028_remove_concept_regions_game_region.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0029_game_is_regional_alter_game_region.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0030_remove_titleid_concept_remove_titleid_game_and_more.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0031_game_is_shovelware.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0032_profile_country_profile_country_code_profile_flag.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0033_trophygroup.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0034_profile_discord_id_profile_discord_linked_at_and_more.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0035_profile_display_psn_username.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0036_profile_is_verified_profile_verification_code_and_more.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0037_profile_psn_history_public.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\0038_profile_verified_synced_idx.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\models.py", "Python", 396, 0, 0, 0, 0, 0, 0, 0, 12, 66, 474
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\psn_manager.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 4, 14, 87
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\services\psn_api_service.py", "Python", 313, 0, 0, 0, 0, 0, 0, 0, 9, 31, 353
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\token_keeper.py", "Python", 660, 0, 0, 0, 0, 0, 0, 0, 20, 91, 771
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\utils.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 3, 16, 97
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\views.py", "Python", 586, 0, 0, 0, 0, 0, 0, 0, 4, 77, 667
"c:\Users\Jlowe\Desktop\PlatPursuit\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\users\admin.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 1, 5, 51
"c:\Users\Jlowe\Desktop\PlatPursuit\users\apps.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Jlowe\Desktop\PlatPursuit\users\forms.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Jlowe\Desktop\PlatPursuit\users\migrations\0001_initial.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 1, 7, 135
"c:\Users\Jlowe\Desktop\PlatPursuit\users\migrations\0002_customuser_discord_id_customuser_discord_linked_at_and_more.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"c:\Users\Jlowe\Desktop\PlatPursuit\users\migrations\0003_remove_customuser_users_custo_discord_94cf4e_idx_and_more.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Jlowe\Desktop\PlatPursuit\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\users\models.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 1, 5, 30
"c:\Users\Jlowe\Desktop\PlatPursuit\users\signals.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\Jlowe\Desktop\PlatPursuit\users\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jlowe\Desktop\PlatPursuit\users\views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"Total", "-", 5098, 180, 2123, 141, 47, 27, 117, 10, 302, 1011, 9056
